category,capacity,ticket_price,days_remaining,current_fill_rate,booking_velocity_24h,actual_additional_demand,demand_level,capacity_risk
Workshop,500,250,10,0.86,28,163,CRITICAL,CRITICAL
Cultural,500,1500,3,0.13,37,76,LOW,LOW
Show,1000,1500,24,0.8,20,249,CRITICAL,CRITICAL
Workshop,100,250,27,0.84,46,850,CRITICAL,CRITICAL
Sports,500,0,4,0.72,23,51,HIGH,HIGH
Sports,1000,250,24,0.53,42,582,CRITICAL,CRITICAL
Cultural,100,250,20,0.62,37,532,CRITICAL,CRITICAL
Sports,1000,750,23,0.94,6,78,CRITICAL,CRITICAL
Technology,2000,0,5,0.53,69,203,MEDIUM,MEDIUM
Technology,100,0,27,0.69,58,1047,CRITICAL,CRITICAL
Cultural,800,300,15,0.76,36,278,CRITICAL,CRITICAL
Cultural,1500,750,19,0.65,34,402,MEDIUM,MEDIUM
Cultural,1000,750,20,0.83,6,81,HIGH,HIGH
Concert,2000,0,19,0.94,53,519,CRITICAL,CRITICAL
Technology,500,300,1,0.56,65,37,MEDIUM,MEDIUM
Cultural,800,750,19,0.47,14,133,MEDIUM,MEDIUM
Technology,100,250,21,0.65,70,1009,CRITICAL,CRITICAL
Cultural,1500,0,15,0.4,29,285,MEDIUM,MEDIUM
Sports,2000,500,18,0.68,8,101,HIGH,HIGH
Concert,1000,750,13,0.92,50,462,CRITICAL,CRITICAL
Show,1000,300,17,0.12,24,229,LOW,LOW
Concert,100,300,2,0.48,59,68,CRITICAL,CRITICAL
Show,200,2000,1,0.41,34,23,MEDIUM,MEDIUM
Workshop,2000,0,27,0.31,35,637,MEDIUM,MEDIUM
Workshop,100,0,29,0.82,49,837,CRITICAL,CRITICAL
Cultural,800,500,25,0.47,35,493,HIGH,HIGH
Sports,1500,250,27,0.65,23,347,MEDIUM,MEDIUM
Cultural,100,300,19,0.43,25,271,CRITICAL,CRITICAL
Cultural,200,250,14,0.8,24,209,CRITICAL,CRITICAL
Concert,500,500,8,0.44,33,169,MEDIUM,MEDIUM
Technology,200,500,6,0.66,56,161,CRITICAL,CRITICAL
Cultural,1000,2000,10,0.59,23,121,MEDIUM,MEDIUM
Workshop,100,0,11,0.76,54,398,CRITICAL,CRITICAL
Technology,200,0,29,0.62,36,576,CRITICAL,CRITICAL
Sports,500,250,14,0.77,41,385,CRITICAL,CRITICAL
Cultural,100,1500,18,0.48,33,341,CRITICAL,CRITICAL
Show,800,750,3,0.17,26,56,LOW,LOW
Workshop,1000,0,30,0.26,37,682,HIGH,HIGH
Workshop,1500,300,5,0.6,29,95,MEDIUM,MEDIUM
Cultural,1000,0,27,0.71,32,527,CRITICAL,CRITICAL
Sports,200,1000,28,0.91,12,237,CRITICAL,CRITICAL
Concert,100,500,8,0.36,20,88,CRITICAL,CRITICAL
Cultural,200,1000,28,0.55,34,630,CRITICAL,CRITICAL
Technology,800,250,28,0.72,51,996,CRITICAL,CRITICAL
Sports,200,1000,4,0.17,8,21,LOW,LOW
Technology,500,1500,11,0.23,50,271,MEDIUM,MEDIUM
Sports,2000,1500,22,0.21,34,478,LOW,LOW
Sports,2000,0,20,0.78,13,168,HIGH,HIGH
Concert,2000,250,23,0.29,55,888,MEDIUM,MEDIUM
Workshop,1500,500,9,0.27,13,77,LOW,LOW
Technology,1000,0,19,0.34,29,396,MEDIUM,MEDIUM
Concert,200,2000,23,0.24,23,335,CRITICAL,CRITICAL
Concert,1500,750,10,0.89,58,308,CRITICAL,CRITICAL
Concert,500,300,19,0.33,72,764,CRITICAL,CRITICAL
Sports,800,1500,12,0.67,32,254,HIGH,HIGH
Cultural,1500,250,28,0.74,30,472,CRITICAL,CRITICAL
Technology,500,250,2,0.35,57,68,LOW,LOW
Cultural,1000,0,13,0.67,31,251,HIGH,HIGH
Sports,800,300,8,0.27,22,89,LOW,LOW
Concert,1500,300,17,0.33,70,737,MEDIUM,MEDIUM
Concert,1000,2000,21,0.77,63,832,CRITICAL,CRITICAL
Technology,800,300,3,0.59,55,105,MEDIUM,MEDIUM
Sports,500,750,30,0.25,16,289,MEDIUM,MEDIUM
Sports,2000,1000,2,0.17,8,10,LOW,LOW
Sports,2000,0,25,0.18,48,706,MEDIUM,MEDIUM
Sports,100,300,23,0.66,36,561,CRITICAL,CRITICAL
Sports,1000,250,21,0.65,27,311,HIGH,HIGH
Workshop,1000,250,21,0.36,44,459,MEDIUM,MEDIUM
Show,200,0,9,0.64,37,173,CRITICAL,CRITICAL
Show,100,500,24,0.84,6,99,CRITICAL,CRITICAL
Technology,1000,300,5,0.87,47,129,CRITICAL,CRITICAL
Concert,100,1000,12,0.12,59,425,CRITICAL,CRITICAL
Technology,2000,500,10,0.3,35,234,LOW,LOW
Concert,2000,250,16,0.15,38,328,LOW,LOW
Workshop,500,1000,21,0.52,34,365,CRITICAL,CRITICAL
Sports,200,0,17,0.28,33,338,CRITICAL,CRITICAL
Workshop,100,1000,26,0.23,11,187,CRITICAL,CRITICAL
Cultural,500,2000,25,0.7,38,491,CRITICAL,CRITICAL
Workshop,200,0,26,0.38,35,581,CRITICAL,CRITICAL
Sports,200,1500,12,0.21,24,179,HIGH,HIGH
Concert,100,500,7,0.6,43,175,CRITICAL,CRITICAL
Show,500,250,14,0.58,30,222,HIGH,HIGH
Cultural,2000,300,23,0.41,47,580,MEDIUM,MEDIUM
Workshop,200,2000,14,0.41,12,110,HIGH,HIGH
Workshop,1000,250,21,0.66,18,267,HIGH,HIGH
Workshop,1000,1000,27,0.15,13,251,LOW,LOW
Cultural,2000,750,29,0.49,6,111,MEDIUM,MEDIUM
Show,200,1500,21,0.78,40,434,CRITICAL,CRITICAL
Technology,800,2000,22,0.58,24,270,MEDIUM,MEDIUM
Workshop,1000,750,13,0.63,20,125,MEDIUM,MEDIUM
Cultural,800,1500,28,0.87,40,583,CRITICAL,CRITICAL
Concert,200,500,14,0.72,47,390,CRITICAL,CRITICAL
Workshop,1000,0,19,0.52,22,264,MEDIUM,MEDIUM
Cultural,800,1500,27,0.11,26,440,MEDIUM,MEDIUM
Cultural,800,300,24,0.66,55,639,CRITICAL,CRITICAL
Concert,1000,750,20,0.47,39,503,HIGH,HIGH
Workshop,1000,2000,8,0.28,7,31,LOW,LOW
Cultural,2000,2000,26,0.6,34,444,MEDIUM,MEDIUM
Sports,2000,2000,8,0.26,40,175,LOW,LOW
Sports,200,1000,4,0.3,13,30,LOW,LOW
Workshop,1000,500,17,0.85,36,309,CRITICAL,CRITICAL
Technology,200,0,20,0.49,75,972,CRITICAL,CRITICAL
Cultural,1000,500,14,0.66,24,202,HIGH,HIGH
Cultural,1500,300,25,0.79,21,339,HIGH,HIGH
Sports,100,250,23,0.18,43,562,CRITICAL,CRITICAL
Concert,200,300,14,0.34,80,575,CRITICAL,CRITICAL
Concert,1500,1000,28,0.84,34,522,CRITICAL,CRITICAL
Concert,2000,1500,13,0.28,46,301,LOW,LOW
Technology,1000,1000,10,0.94,52,340,CRITICAL,CRITICAL
Technology,200,300,4,0.46,57,146,CRITICAL,CRITICAL
Sports,500,0,23,0.71,38,600,CRITICAL,CRITICAL
Show,2000,500,18,0.6,14,148,MEDIUM,MEDIUM
Cultural,800,750,11,0.83,33,217,CRITICAL,CRITICAL
Concert,800,500,21,0.56,42,549,CRITICAL,CRITICAL
Technology,1500,250,17,0.77,60,626,CRITICAL,CRITICAL
Concert,2000,300,12,0.88,38,233,CRITICAL,CRITICAL
Sports,1500,1000,26,0.5,12,159,MEDIUM,MEDIUM
Concert,100,250,5,0.85,64,215,CRITICAL,CRITICAL
Workshop,2000,2000,9,0.72,29,187,HIGH,HIGH
Concert,1000,300,24,0.4,47,589,HIGH,HIGH
Cultural,200,250,25,0.63,26,455,CRITICAL,CRITICAL
Concert,1000,750,3,0.94,59,98,CRITICAL,CRITICAL
Concert,1000,750,30,0.13,68,1351,CRITICAL,CRITICAL
Sports,200,300,2,0.8,35,42,HIGH,HIGH
Show,100,300,2,0.13,55,72,MEDIUM,MEDIUM
Show,2000,300,9,0.3,38,172,LOW,LOW
Sports,2000,2000,20,0.42,8,98,MEDIUM,MEDIUM
Concert,200,750,7,0.51,39,167,CRITICAL,CRITICAL
Cultural,1500,1000,6,0.93,33,130,CRITICAL,CRITICAL
Show,2000,500,24,0.4,8,98,MEDIUM,MEDIUM
Cultural,100,500,2,0.84,13,12,HIGH,HIGH
Technology,800,300,2,0.5,37,46,MEDIUM,MEDIUM
Show,1000,750,7,0.71,17,70,HIGH,HIGH
Sports,2000,750,24,0.6,37,634,MEDIUM,MEDIUM
Workshop,1500,300,15,0.9,20,154,CRITICAL,CRITICAL
Technology,800,1500,30,0.58,38,712,CRITICAL,CRITICAL
Cultural,1500,2000,22,0.53,37,522,MEDIUM,MEDIUM
Show,100,2000,12,0.12,13,81,HIGH,HIGH
Sports,800,500,23,0.81,28,340,CRITICAL,CRITICAL
Workshop,2000,500,6,0.41,9,37,MEDIUM,MEDIUM
Show,500,1000,15,0.19,39,340,MEDIUM,MEDIUM
Concert,100,750,10,0.64,50,284,CRITICAL,CRITICAL
Technology,1000,0,21,0.73,69,811,CRITICAL,CRITICAL
Concert,800,2000,9,0.89,34,153,CRITICAL,CRITICAL
Cultural,2000,1500,27,0.14,38,604,LOW,LOW
Concert,1000,1500,22,0.5,38,594,HIGH,HIGH
Sports,500,250,22,0.94,29,336,CRITICAL,CRITICAL
Concert,1500,1500,8,0.57,48,239,MEDIUM,MEDIUM
Cultural,1500,2000,4,0.61,16,44,MEDIUM,MEDIUM
Show,200,0,1,0.4,43,30,MEDIUM,MEDIUM
Technology,100,300,30,0.33,66,1223,CRITICAL,CRITICAL
Workshop,1500,2000,26,0.35,9,167,LOW,LOW
Sports,100,2000,19,0.41,35,433,CRITICAL,CRITICAL
Workshop,800,300,11,0.53,45,267,MEDIUM,MEDIUM
Sports,500,0,15,0.33,51,381,HIGH,HIGH
Workshop,200,1000,24,0.54,9,116,CRITICAL,CRITICAL
Workshop,100,300,26,0.82,39,560,CRITICAL,CRITICAL
Workshop,100,300,11,0.13,56,367,CRITICAL,CRITICAL
Workshop,800,750,27,0.47,25,372,HIGH,HIGH
Workshop,1000,300,4,0.7,25,57,HIGH,HIGH
Cultural,1000,500,7,0.46,19,71,MEDIUM,MEDIUM
Concert,1500,0,20,0.64,80,998,CRITICAL,CRITICAL
Technology,100,300,30,0.17,40,736,CRITICAL,CRITICAL
Technology,100,300,3,0.17,60,128,CRITICAL,CRITICAL
Technology,800,500,22,0.29,62,767,CRITICAL,CRITICAL
Show,100,0,10,0.89,49,282,CRITICAL,CRITICAL
Technology,2000,1500,13,0.37,48,429,MEDIUM,MEDIUM
Sports,200,1000,25,0.45,24,311,CRITICAL,CRITICAL
Concert,2000,1000,10,0.3,30,173,LOW,LOW
Sports,2000,500,13,0.45,20,139,MEDIUM,MEDIUM
Concert,2000,250,17,0.11,45,388,LOW,LOW
Sports,100,300,16,0.89,44,419,CRITICAL,CRITICAL
Show,200,1000,22,0.42,5,68,MEDIUM,MEDIUM
Concert,1000,0,7,0.61,62,220,MEDIUM,MEDIUM
Show,500,750,18,0.71,19,236,CRITICAL,CRITICAL
Sports,2000,0,5,0.29,34,108,LOW,LOW
Sports,1500,750,4,0.79,26,67,HIGH,HIGH
Concert,200,1000,30,0.19,25,489,CRITICAL,CRITICAL
Cultural,100,2000,30,0.17,21,394,CRITICAL,CRITICAL
Workshop,500,0,6,0.71,31,99,HIGH,HIGH
Cultural,1000,2000,7,0.11,24,109,LOW,LOW
Concert,500,500,19,0.38,54,716,CRITICAL,CRITICAL
Technology,200,0,26,0.26,45,784,CRITICAL,CRITICAL
Cultural,1000,300,13,0.36,52,435,MEDIUM,MEDIUM
Concert,2000,1500,7,0.45,36,139,MEDIUM,MEDIUM
Show,500,500,23,0.77,29,355,CRITICAL,CRITICAL
Workshop,800,0,5,0.58,19,62,MEDIUM,MEDIUM
Sports,1000,0,14,0.95,37,298,CRITICAL,CRITICAL
Sports,1000,1500,28,0.73,26,476,CRITICAL,CRITICAL
Concert,200,300,1,0.68,74,44,HIGH,HIGH
Show,800,250,12,0.47,31,193,MEDIUM,MEDIUM
Technology,100,250,4,0.11,70,135,CRITICAL,CRITICAL
Show,200,250,28,0.54,24,346,CRITICAL,CRITICAL
Workshop,100,1500,4,0.18,8,16,LOW,LOW
Show,1000,500,10,0.65,32,184,MEDIUM,MEDIUM
Cultural,100,0,1,0.47,25,12,MEDIUM,MEDIUM
Cultural,200,0,12,0.73,17,139,CRITICAL,CRITICAL
Workshop,100,0,18,0.71,36,439,CRITICAL,CRITICAL
Workshop,100,300,5,0.3,27,84,HIGH,HIGH
Concert,2000,750,10,0.37,50,330,MEDIUM,MEDIUM
Show,2000,2000,28,0.5,28,386,MEDIUM,MEDIUM
Concert,1000,250,10,0.55,42,259,MEDIUM,MEDIUM
Sports,1500,300,1,0.69,33,21,HIGH,HIGH
Sports,100,2000,18,0.58,5,47,HIGH,HIGH
Cultural,800,300,30,0.63,45,653,CRITICAL,CRITICAL
Workshop,1500,1000,13,0.91,36,274,CRITICAL,CRITICAL
Cultural,1500,500,23,0.4,5,79,MEDIUM,MEDIUM
Concert,100,300,9,0.88,53,263,CRITICAL,CRITICAL
Technology,500,750,14,0.79,49,428,CRITICAL,CRITICAL
Show,1000,500,9,0.61,29,139,MEDIUM,MEDIUM
Workshop,1500,750,23,0.58,12,179,MEDIUM,MEDIUM
Concert,800,1500,10,0.8,50,300,CRITICAL,CRITICAL
Technology,100,1500,8,0.33,38,172,CRITICAL,CRITICAL
Workshop,1000,500,7,0.48,21,92,MEDIUM,MEDIUM
Sports,500,2000,18,0.51,21,203,MEDIUM,MEDIUM
Show,1000,1000,27,0.17,13,183,LOW,LOW
Technology,2000,500,2,0.77,57,57,HIGH,HIGH
Sports,200,250,10,0.73,14,73,CRITICAL,CRITICAL
Sports,100,250,2,0.81,46,53,CRITICAL,CRITICAL
Show,2000,1000,20,0.15,40,425,LOW,LOW
Sports,1000,2000,20,0.18,38,468,MEDIUM,MEDIUM
Sports,1000,750,22,0.62,15,213,MEDIUM,MEDIUM
Cultural,1000,2000,6,0.69,33,120,HIGH,HIGH
Concert,1000,750,24,0.29,44,580,MEDIUM,MEDIUM
Workshop,800,2000,11,0.54,11,75,MEDIUM,MEDIUM
Cultural,200,1000,19,0.73,6,65,CRITICAL,CRITICAL
Cultural,2000,500,7,0.25,26,94,LOW,LOW
Cultural,1500,1000,12,0.9,23,169,CRITICAL,CRITICAL
Technology,1000,300,16,0.89,28,226,CRITICAL,CRITICAL
Workshop,1000,1000,16,0.59,26,210,MEDIUM,MEDIUM
Concert,100,300,3,0.88,54,90,CRITICAL,CRITICAL
Concert,500,1500,5,0.59,52,141,MEDIUM,MEDIUM
Concert,800,500,27,0.54,35,473,CRITICAL,CRITICAL
Sports,100,750,1,0.63,33,20,MEDIUM,MEDIUM
Concert,1000,2000,11,0.23,55,403,MEDIUM,MEDIUM
Workshop,200,2000,7,0.6,14,64,MEDIUM,MEDIUM
Workshop,2000,300,18,0.36,29,337,MEDIUM,MEDIUM
Show,1500,1000,6,0.31,28,90,LOW,LOW
Technology,800,500,25,0.36,66,1051,CRITICAL,CRITICAL
Sports,1000,1500,16,0.75,19,212,HIGH,HIGH
Sports,1000,250,13,0.28,16,116,LOW,LOW
Concert,800,500,18,0.88,46,399,CRITICAL,CRITICAL
Sports,800,1500,17,0.92,23,188,CRITICAL,CRITICAL
Technology,800,250,2,0.84,42,41,HIGH,HIGH
Sports,2000,2000,11,0.9,9,63,CRITICAL,CRITICAL
Concert,800,500,10,0.8,49,241,CRITICAL,CRITICAL
Technology,1500,750,22,0.49,42,607,MEDIUM,MEDIUM
Show,1000,1500,6,0.27,36,143,LOW,LOW
Concert,200,300,25,0.12,49,874,CRITICAL,CRITICAL
Sports,200,750,22,0.54,9,102,HIGH,HIGH
Sports,200,1000,10,0.17,6,39,LOW,LOW
Concert,1000,1000,12,0.11,45,329,LOW,LOW
Cultural,1500,300,16,0.49,50,533,MEDIUM,MEDIUM
Technology,100,2000,21,0.51,23,238,CRITICAL,CRITICAL
Concert,500,2000,4,0.21,57,161,MEDIUM,MEDIUM
Sports,1500,300,5,0.91,24,82,CRITICAL,CRITICAL
Sports,100,0,26,0.64,38,706,CRITICAL,CRITICAL
Cultural,100,300,28,0.5,17,255,CRITICAL,CRITICAL
Sports,2000,0,23,0.1,50,611,LOW,LOW
Cultural,1500,250,6,0.28,23,89,LOW,LOW
Workshop,100,2000,3,0.81,35,60,CRITICAL,CRITICAL
Technology,800,0,16,0.21,73,630,HIGH,HIGH
Show,200,1000,15,0.47,29,310,CRITICAL,CRITICAL
Technology,1000,0,23,0.87,40,595,CRITICAL,CRITICAL
Workshop,200,250,19,0.19,34,427,CRITICAL,CRITICAL
Cultural,800,0,8,0.94,58,329,CRITICAL,CRITICAL
Show,1000,300,9,0.44,40,255,MEDIUM,MEDIUM
Technology,100,300,4,0.7,43,85,CRITICAL,CRITICAL
Show,2000,250,15,0.25,24,203,LOW,LOW
Sports,1000,1000,29,0.65,35,581,CRITICAL,CRITICAL
Workshop,1500,250,26,0.49,55,709,HIGH,HIGH
Workshop,800,1000,23,0.39,31,507,HIGH,HIGH
Cultural,2000,500,6,0.22,32,120,LOW,LOW
Technology,100,1500,9,0.35,40,241,CRITICAL,CRITICAL
Sports,1500,750,21,0.17,39,511,MEDIUM,MEDIUM
Concert,1000,300,7,0.38,58,278,MEDIUM,MEDIUM
Technology,800,2000,13,0.58,61,484,CRITICAL,CRITICAL
Workshop,1500,1000,19,0.5,11,131,MEDIUM,MEDIUM
Show,100,750,30,0.64,22,366,CRITICAL,CRITICAL
Sports,200,1500,28,0.29,25,356,CRITICAL,CRITICAL
Technology,1500,1000,2,0.28,23,32,LOW,LOW
Cultural,800,750,3,0.68,31,58,HIGH,HIGH
Technology,2000,500,16,0.48,29,316,MEDIUM,MEDIUM
Sports,1500,250,12,0.22,29,218,LOW,LOW
Workshop,1000,500,19,0.91,40,503,CRITICAL,CRITICAL
Technology,1500,300,7,0.32,51,247,LOW,LOW
Show,500,1500,25,0.85,16,213,CRITICAL,CRITICAL
Concert,500,1500,8,0.36,46,263,MEDIUM,MEDIUM
Cultural,800,300,26,0.28,46,662,HIGH,HIGH
Workshop,1000,250,20,0.89,42,464,CRITICAL,CRITICAL
Cultural,2000,500,6,0.68,40,165,HIGH,HIGH
Technology,1000,300,10,0.28,60,358,MEDIUM,MEDIUM
Sports,2000,2000,19,0.12,27,279,LOW,LOW
Cultural,100,0,7,0.48,50,192,CRITICAL,CRITICAL
Workshop,100,2000,1,0.32,24,14,LOW,LOW
Sports,100,1000,2,0.88,7,7,CRITICAL,CRITICAL
Show,100,1500,5,0.43,9,25,MEDIUM,MEDIUM
Concert,2000,1500,3,0.75,60,122,HIGH,HIGH
Cultural,500,2000,21,0.92,40,428,CRITICAL,CRITICAL
Show,2000,300,19,0.73,26,311,HIGH,HIGH
Show,1000,0,8,0.17,43,225,LOW,LOW
Concert,2000,1000,25,0.36,28,502,MEDIUM,MEDIUM
Show,100,300,3,0.58,22,40,HIGH,HIGH
Technology,500,750,26,0.53,50,634,CRITICAL,CRITICAL
Workshop,800,500,5,0.65,6,19,MEDIUM,MEDIUM
Sports,1500,2000,12,0.78,39,315,HIGH,HIGH
Show,1500,750,23,0.34,25,296,LOW,LOW
Show,1000,250,9,0.54,44,225,MEDIUM,MEDIUM
Show,500,750,11,0.82,11,78,HIGH,HIGH
Show,100,1500,13,0.89,16,112,CRITICAL,CRITICAL
Cultural,100,750,28,0.87,14,256,CRITICAL,CRITICAL
Workshop,1000,500,21,0.46,8,94,MEDIUM,MEDIUM
Show,100,250,11,0.87,34,190,CRITICAL,CRITICAL
Cultural,800,300,7,0.44,45,214,MEDIUM,MEDIUM
Concert,1500,1500,9,0.89,42,194,CRITICAL,CRITICAL
Cultural,1500,300,20,0.88,36,472,CRITICAL,CRITICAL
Show,1000,1500,22,0.75,30,453,CRITICAL,CRITICAL
Workshop,1000,1500,3,0.46,8,12,MEDIUM,MEDIUM
Concert,800,1000,28,0.37,35,681,CRITICAL,CRITICAL
Technology,500,0,1,0.13,61,31,LOW,LOW
Workshop,2000,750,14,0.38,28,236,MEDIUM,MEDIUM
Show,100,0,8,0.77,42,168,CRITICAL,CRITICAL
Cultural,1000,1000,3,0.5,29,56,MEDIUM,MEDIUM
Technology,500,1500,30,0.42,53,766,CRITICAL,CRITICAL
Show,2000,750,20,0.23,18,228,LOW,LOW
Workshop,1500,500,19,0.44,6,55,MEDIUM,MEDIUM
Sports,2000,1500,17,0.82,40,478,CRITICAL,CRITICAL
Technology,2000,250,24,0.1,40,684,LOW,LOW
Cultural,500,2000,30,0.53,28,550,CRITICAL,CRITICAL
Workshop,1000,1500,18,0.63,40,356,HIGH,HIGH
Sports,800,1000,8,0.62,21,120,MEDIUM,MEDIUM
Cultural,800,250,21,0.85,32,353,CRITICAL,CRITICAL
Show,2000,300,25,0.28,37,451,LOW,LOW
Show,800,750,26,0.57,23,308,HIGH,HIGH
Cultural,500,750,1,0.6,22,12,MEDIUM,MEDIUM
Cultural,1000,0,25,0.39,52,850,CRITICAL,CRITICAL
Concert,200,0,17,0.4,72,857,CRITICAL,CRITICAL
Cultural,100,2000,7,0.11,24,109,CRITICAL,CRITICAL
Technology,100,1500,13,0.16,24,163,CRITICAL,CRITICAL
Cultural,800,500,28,0.2,26,380,MEDIUM,MEDIUM
Concert,1500,300,24,0.81,55,720,CRITICAL,CRITICAL
Concert,1500,1000,13,0.91,50,362,CRITICAL,CRITICAL
Cultural,200,0,11,0.75,33,249,CRITICAL,CRITICAL
Workshop,1500,1000,30,0.55,10,144,MEDIUM,MEDIUM
Cultural,100,0,29,0.85,37,562,CRITICAL,CRITICAL
Cultural,500,1000,26,0.48,26,414,CRITICAL,CRITICAL
Concert,1500,250,10,0.15,66,337,LOW,LOW
Sports,200,300,25,0.65,19,302,CRITICAL,CRITICAL
Cultural,500,300,10,0.33,43,308,HIGH,HIGH
Technology,800,250,7,0.7,68,287,HIGH,HIGH
Cultural,500,1500,1,0.29,40,23,LOW,LOW
Show,800,300,18,0.21,41,517,MEDIUM,MEDIUM
Technology,2000,1000,8,0.91,50,221,CRITICAL,CRITICAL
Technology,800,1500,11,0.58,51,354,HIGH,HIGH
Show,500,300,18,0.85,18,181,CRITICAL,CRITICAL
Workshop,100,250,22,0.39,35,493,CRITICAL,CRITICAL
Sports,500,1000,7,0.49,25,113,MEDIUM,MEDIUM
Show,2000,500,9,0.87,9,49,CRITICAL,CRITICAL
Technology,200,750,20,0.37,44,441,CRITICAL,CRITICAL
Cultural,1500,1000,28,0.46,24,325,MEDIUM,MEDIUM
Cultural,2000,750,6,0.7,18,74,HIGH,HIGH
Show,800,750,9,0.19,29,137,LOW,LOW
Show,200,1000,14,0.21,38,286,CRITICAL,CRITICAL
Cultural,500,250,2,0.48,46,56,MEDIUM,MEDIUM
Cultural,100,1000,8,0.67,21,107,CRITICAL,CRITICAL
Show,2000,300,10,0.17,37,238,LOW,LOW
Cultural,800,2000,10,0.5,34,199,MEDIUM,MEDIUM
Cultural,500,0,23,0.17,48,532,CRITICAL,CRITICAL
Show,1500,1000,11,0.42,21,128,MEDIUM,MEDIUM
Concert,1000,300,30,0.56,42,812,CRITICAL,CRITICAL
Show,200,1000,17,0.52,19,156,CRITICAL,CRITICAL
Technology,1500,250,1,0.28,52,36,LOW,LOW
Show,1500,500,27,0.16,14,238,LOW,LOW
Cultural,500,2000,8,0.21,25,125,LOW,LOW
Technology,1000,500,23,0.79,63,761,CRITICAL,CRITICAL
Technology,1500,750,1,0.62,50,34,MEDIUM,MEDIUM
Cultural,100,300,3,0.53,25,49,HIGH,HIGH
Workshop,200,1000,14,0.92,6,55,CRITICAL,CRITICAL
Cultural,1000,2000,12,0.54,23,173,MEDIUM,MEDIUM
Cultural,1000,300,13,0.85,41,337,CRITICAL,CRITICAL
Sports,2000,250,15,0.12,31,299,LOW,LOW
Sports,1500,1000,7,0.38,18,76,MEDIUM,MEDIUM
Concert,100,1500,6,0.2,24,91,HIGH,HIGH
Concert,500,250,20,0.63,69,783,CRITICAL,CRITICAL
Sports,800,1000,28,0.2,39,771,CRITICAL,CRITICAL
Concert,2000,1500,4,0.73,44,120,HIGH,HIGH
Cultural,2000,2000,29,0.64,23,371,MEDIUM,MEDIUM
Concert,1000,2000,4,0.52,51,142,MEDIUM,MEDIUM
Show,800,750,17,0.17,25,214,LOW,LOW
Sports,1500,1500,7,0.14,24,102,LOW,LOW
Show,800,2000,15,0.94,6,56,CRITICAL,CRITICAL
Workshop,200,300,30,0.8,51,969,CRITICAL,CRITICAL
Technology,100,500,19,0.14,55,629,CRITICAL,CRITICAL
Technology,1000,1000,23,0.48,42,573,HIGH,HIGH
Technology,1000,1000,14,0.79,24,164,HIGH,HIGH
Sports,1500,250,2,0.88,25,25,CRITICAL,CRITICAL
Workshop,2000,0,3,0.45,18,33,MEDIUM,MEDIUM
Cultural,100,2000,27,0.94,33,495,CRITICAL,CRITICAL
Concert,1500,250,29,0.2,51,1044,HIGH,HIGH
Concert,1000,750,28,0.56,57,895,CRITICAL,CRITICAL
Cultural,800,0,9,0.18,26,153,LOW,LOW
Concert,500,300,12,0.31,51,404,HIGH,HIGH
Technology,500,300,25,0.79,52,817,CRITICAL,CRITICAL
Cultural,1000,1000,12,0.42,16,94,MEDIUM,MEDIUM
Sports,200,500,26,0.68,23,303,CRITICAL,CRITICAL
Workshop,1000,2000,8,0.8,18,87,HIGH,HIGH
